blk_street,latitude,longitude
1 JLN PASAR BARU,0,0
1 SELETAR WEST FARMWAY 6,0,0
1 ST. GEORGE'S RD,0,0
10 GHIM MOH RD,0,0
107 DEPOT RD,0,0
11 SHORT ST,0,0
11 ST. GEORGE'S RD,0,0
110 BT MERAH VIEW,0,0
113 BT MERAH VIEW,0,0
12 ST. GEORGE'S RD,0,0
13 ST. GEORGE'S RD,0,0
13 TEBAN GDNS RD,0,0
137 ALEXANDRA RD,0,0
138 ALEXANDRA RD,0,0
14 ST. GEORGE'S RD,0,0
14 TEBAN GDNS RD,0,0
142 HU CHING RD,0,0
142 TIONG BAHRU RD,0,0
15 ST. GEORGE'S RD,0,0
16 ST. GEORGE'S RD,0,0
166 LOR 1 TOA PAYOH,0,0
167 LOR 1 TOA PAYOH,0,0
17 ST. GEORGE'S RD,0,0
171 BOON LAY DR,0,0
172 STIRLING RD,0,0
173 STIRLING RD,0,0
18 ST. GEORGE'S RD,0,0
19 KG BAHRU HILL,0,0
19 ST. GEORGE'S RD,0,0
1A WOODLANDS CTR RD,0,0
2 SELETAR WEST FARMWAY 6,0,0
2 ST. GEORGE'S RD,0,0
20 ST. GEORGE'S RD,0,0
20 UPP BOON KENG RD,0,0
21 OUTRAM PK,0,0
21 ST. GEORGE'S RD,0,0
22 KG BAHRU HILL,0,0
22 ST. GEORGE'S RD,0,0
220 BOON LAY AVE,0,0
23 KG BAHRU HILL,0,0
23 ST. GEORGE'S RD,0,0
24 DOVER CRES,0,0
24 JLN MEMBINA BARAT,0,0
24 KG BAHRU HILL,0,0
248 ANG MO KIO AVE 2,0,0
27A C'WEALTH AVE,0,0
2A WOODLANDS CTR RD,0,0
3 LIM CHU KANG RD,0,0
3 ROCHOR RD,0,0
3 ST. GEORGE'S RD,0,0
30 LOR 5 TOA PAYOH,0,0
31 TAMAN HO SWEE,0,0
316 ANG MO KIO AVE 1,0,0
32 LOWER DELTA RD,0,0
39A C'WEALTH AVE,0,0
4 ROCHOR RD,0,0
