blk_street,latitude,longitude,
716 ANG MO KIO AVE 6,1.3714565,103.8458551,
545 ANG MO KIO AVE 10,1.3732261,103.8563633,
620 ANG MO KIO AVE 9,1.3824856,103.8395144,
622 ANG MO KIO AVE 9,1.3821158,103.8396628,
259 ANG MO KIO AVE 2,1.3685541,103.8315806,
101 ANG MO KIO AVE 3,1.3702489,103.8394238,
620 BEDOK RESERVOIR RD,1.3339841,103.9182508,
534 BEDOK NTH ST 3,1.333142,103.9246859,
18 BEDOK STH RD,1.3205036,103.9347465,
28 NEW UPP CHANGI RD,1.32374,103.9349004,
29 NEW UPP CHANGI RD,1.3240053,103.9363732,
30 NEW UPP CHANGI RD,1.3235698,103.9363722,
75 BEDOK NTH RD,1.3279202,103.9420891,
76 BEDOK NTH RD,1.3283586,103.9421798,
501 BEDOK NTH ST 3,1.3312025,103.9311212,
502 BEDOK NTH ST 3,1.331641,103.9312118,
503 BEDOK NTH ST 3,1.3314692,103.9324581,
504 BEDOK NTH ST 3,1.3318724,103.9323222,
2 BEDOK STH AVE 1,1.3213165,103.9332953,
20 CHAI CHEE RD,1.326468,103.9227142,
21 CHAI CHEE RD,1.325822,103.9222289,
59 CHAI CHEE RD,1.3248997,103.9202448,
58 CHAI CHEE DR,1.3257797,103.9198822,
55 CHAI CHEE DR,1.3271729,103.9193384,
22 BEDOK STH AVE 1,1.3228528,103.9327527,
105 BEDOK NTH AVE 4,1.3336952,103.936605,
104 BEDOK NTH AVE 4,1.3332562,103.936605,
107 BEDOK NTH RD,1.3324161,103.9363784,
110 BEDOK NTH RD,1.332529,103.934642,
69 BEDOK STH AVE 3,1.3193589,103.9435005,
33 BEDOK STH AVE 2,1.3228896,103.9390978,
46 BEDOK STH AVE 3,1.32243,103.9427236,
117 BEDOK NTH RD,1.3306475,103.9385539,
116 BEDOK NTH RD,1.3309428,103.9381007,
115 BEDOK NTH RD,1.3313891,103.9368316,
125 BEDOK NTH RD,1.3288879,103.9391884,
124 BEDOK NTH RD,1.3292548,103.9390071,
128 BEDOK NTH ST 2,1.3277189,103.9389165,
129 BEDOK NTH ST 2,1.3275778,103.93801,
138 BEDOK NTH ST 2,1.3297831,103.9361971,
87 BEDOK NTH ST 4,1.3328739,103.938525,
100 BEDOK NTH AVE 4,1.334268,103.9387805,
412 BEDOK NTH AVE 2,1.3290438,103.9311665,
402 BEDOK NTH AVE 3,1.3305299,103.9335685,
401 BEDOK NTH AVE 3,1.3309326,103.9335232,
425 BEDOK NTH RD,1.3293501,103.9288099,
416 BEDOK NTH AVE 2,1.3284617,103.9306227,
418 BEDOK NTH AVE 2,1.3283185,103.9300788,
424 BEDOK NTH AVE 1,1.3284794,103.9275409,
419 BEDOK NTH ST 1,1.326903,103.9281301,
136 BEDOK NTH AVE 3,1.3281793,103.9352001,
529 BEDOK NTH ST 3,1.3342292,103.9264986,
510 BEDOK NTH ST 3,1.3322416,103.9310472,
525 BEDOK NTH ST 3,1.3347268,103.9290365,
202 BEDOK NTH ST 1,1.3256603,103.9279488,
218 BEDOK NTH ST 1,1.3274436,103.9341549,
213 BEDOK NTH ST 1,1.3262922,103.9325714,
532 BEDOK NTH ST 3,1.3340175,103.925139,
533 BEDOK NTH ST 3,1.3335837,103.9242327,
536 BEDOK NTH ST 3,1.3334447,103.9229638,
537 BEDOK NTH ST 3,1.3320819,103.9240161,
44 CHAI CHEE ST,1.3289466,103.9256454,
540 BEDOK NTH ST 3,1.3311815,103.9220574,
702 BEDOK RESERVOIR RD,1.3373472,103.9187946,
615 BEDOK RESERVOIR RD,1.3322067,103.9155772,
712 BEDOK RESERVOIR RD,1.3359348,103.9226012,
50 CHAI CHEE ST,1.3293183,103.9225179,
54 CHAI CHEE ST,1.3296502,103.9211511,
606 BEDOK RESERVOIR RD,1.331668,103.91381,
616 BEDOK RESERVOIR RD,1.3318081,103.9148975,
15 BEDOK STH RD,1.3208647,103.9355622,
34 BEDOK STH AVE 2,1.3219812,103.9380553,
